,dr_close,local_close,fx_close,dr_equiv,local_equiv,premium_pct
2026-07-10,168.00999450683594,2180000.0,1505.9100341796875,253007.93657031842,218000.0,16.05868650014606
2026-07-13,152.35000610351562,1845000.0,1498.47998046875,228293.43417041004,184500.0,23.73627868314907
2026-07-14,193.9199981689453,1913000.0,1497.699951171875,290433.9717888795,191300.0,51.82120846256115
2026-07-15,176.4600067138672,2082000.0,1487.8800048828125,262551.31565104984,208200.0,26.105338929418753
2026-07-16,152.30999755859375,1842000.0,1486.199951171875,226363.11093457043,184200.0,22.889853927562665
2026-07-17,154.02999877929688,1842000.0,1478.8499755859375,227787.25993426517,184200.0,23.66300756474764
2026-07-20,151.16000366210938,1764000.0,1487.3900146484375,224833.88006124273,176400.0,27.456848107280464
2026-07-21,171.94000244140625,1836000.0,1475.010009765625,253613.22468020022,183600.0,38.13356464063193
2026-07-22,165.27000427246094,1830000.0,1479.719970703125,244553.32588015124,183000.0,33.635697202268446
2026-07-23,169.5,1919000.0,1475.6300048828125,250119.28582763672,191900.0,30.338345923729392
2026-07-24,154.57000732421875,1759000.0,1474.0400390625,227842.37963408232,175900.0,29.52949382267329
2026-07-26,154.57,1759000.0,1459.42,225582.5494,175900.0,28.244769414440007
