,dr_close,local_close,fx_close,dr_equiv,local_equiv,premium_pct
2021-07-15,89.67926025390625,117101.421875,1353.449951171875,121376.39041177928,117101.421875,3.65065467893515
2021-07-16,89.67926025390625,115205.0625,1347.1800537109375,120814.11064561456,115205.0625,4.868751445375552
2021-07-19,89.207275390625,112834.5703125,1347.25,120184.50177001953,112834.5703125,6.513900338489864
2021-07-20,87.7912826538086,112360.484375,1356.0,119044.97927856445,112360.484375,5.9491510211500565
2021-07-21,87.7912826538086,110938.203125,1351.5400390625,118653.43358727545,110938.203125,6.9545298598195915
2021-07-22,88.26329040527344,113308.6796875,1354.4000244140625,119543.80267976783,113308.6796875,5.502776141654819
2021-07-23,89.67926025390625,112360.484375,1353.239990234375,121357.56127022207,112360.484375,8.007331888312773
2021-07-26,86.37531280517578,110938.203125,1353.8499755859375,116939.21513251495,110938.203125,5.409328651874135
2021-07-27,87.7912826538086,109990.0,1359.260009765625,119331.17971735261,109990.0,8.492753629741445
2021-07-28,84.01531219482422,108093.640625,1363.030029296875,114515.39344229735,108093.640625,5.94091639449521
2021-07-29,86.8472900390625,108093.640625,1361.1099853515625,118208.71367289126,108093.640625,9.357694855502752
2021-07-30,84.01531219482422,106671.3359375,1357.8199462890625,114077.66669183504,106671.3359375,6.9431311506912285
2021-08-02,86.37531280517578,109990.0,1366.239990234375,118009.40652343445,109990.0,7.291032387884755
2021-08-03,89.67926025390625,113782.7734375,1365.1600341796875,122426.54199343175,113782.7734375,7.596728656539309
2021-08-04,90.15128326416016,114730.953125,1362.449951171875,122826.61148133688,114730.953125,7.05621119308284
2021-08-05,89.67926025390625,113782.7734375,1352.969970703125,121333.34611840546,113782.7734375,6.635954154389578
2021-08-06,87.7912826538086,111886.375,1351.050048828125,118610.41671611182,111886.375,6.0097055750638395
2021-08-09,86.8472900390625,109990.0,1346.3199462890625,116924.23886074126,109990.0,6.304426639459271
2021-08-10,81.183349609375,106671.3359375,1344.68994140625,109166.43362939358,106671.3359375,2.33905169553279
2021-08-11,81.65534973144531,100034.0078125,1350.75,110295.96364974976,100034.0078125,10.258467156973627
2021-08-12,75.51939392089844,95293.0625,1353.9599609375,102250.23564316332,95293.0625,7.300818087532157
2021-08-13,75.51939392089844,96241.2734375,1362.9300537109375,102927.65161282755,96241.2734375,6.947516316551816
2021-08-16,75.51939392089844,96241.2734375,1369.4100341796875,103417.01581044681,96241.2734375,7.4559927530539305
2021-08-17,75.51939392089844,96241.2734375,1370.989990234375,103536.33313411847,96241.2734375,7.57997004409543
2021-08-18,73.63141632080078,98611.7109375,1377.56005859375,101431.69818122312,98611.7109375,2.859687979159431
2021-08-19,73.15939331054688,97189.4375,1368.6300048828125,100128.14082383737,97189.4375,3.023685906030038
2021-08-20,70.79944610595703,97189.4375,1372.2099609375,97151.70517545193,97189.4375,-0.03882348279674597
2021-08-23,77.87936401367188,97663.546875,1373.1700439453125,106941.6097050868,97663.546875,9.5000264960291
2021-08-24,78.82335662841797,99559.9140625,1372.1700439453125,108159.04872873332,99559.9140625,8.637145529108349
2021-08-25,77.40736389160156,98137.6328125,1367.199951171875,105831.34413294122,98137.6328125,7.8397156115846744
2021-08-26,76.46336364746094,98611.7109375,1368.9300537109375,104672.99650483765,98611.7109375,6.146618398274506
2021-08-27,71.74341583251953,98137.6328125,1375.27001953125,98666.56889322773,98137.6328125,0.538973751015881
2021-08-30,77.40736389160156,98137.6328125,1369.3800048828125,106000.09634384699,98137.6328125,8.011670249239522
2021-08-31,78.82335662841797,100982.1875,1374.6700439453125,108356.10712030437,100982.1875,7.30219834097412
2021-09-01,78.82335662841797,102404.484375,1366.4599609375,107708.96081943065,102404.484375,5.1799259346943405
2021-09-02,76.46336364746094,100982.1875,1368.0899658203125,104608.76055896096,100982.1875,3.5912997616148523
2021-09-03,79.76734924316406,101456.296875,1373.7900390625,109583.58983267844,101456.296875,8.010634340115663
2021-09-06,79.29535675048828,100508.1015625,1371.9200439453125,108786.88931778912,100508.1015625,8.236935756010698
2021-09-07,75.51939392089844,99085.8359375,1371.7099609375,103590.70488525927,99085.8359375,4.546430784114075
2021-09-08,75.51939392089844,100508.1015625,1374.780029296875,103822.554587055,100508.1015625,3.29769737267791
2021-09-09,75.51939392089844,97663.546875,1378.530029296875,104105.75231425837,97663.546875,6.596325492359778
2021-09-10,81.65534973144531,99559.9140625,1381.81005859375,112832.1835969016,99559.9140625,13.330937113977171
2021-09-13,77.40736389160156,100982.1875,1381.43994140625,106933.62423882633,100982.1875,5.8935510174270345
2021-09-14,74.57540130615234,101930.390625,1382.7099609375,103116.1502269283,101930.390625,1.1633033040074237
2021-09-15,74.57540130615234,101930.390625,1381.8699951171875,103053.50943879504,101930.390625,1.101848827330576
2021-09-16,73.15939331054688,98611.7109375,1377.43994140625,100772.67043499649,98611.7109375,2.19138221713453
2021-09-17,75.99137115478516,101456.296875,1381.77001953125,105002.59840475395,101456.296875,3.4953981556445024
2021-09-20,75.04737854003906,101456.296875,1384.699951171875,103918.10139996931,101456.296875,2.4264679480687112
2021-09-21,74.57540130615234,101456.296875,1391.010009765625,103735.12969914638,101456.296875,2.2461226107572507
2021-09-22,75.04737854003906,101456.296875,1387.239990234375,104108.72467299923,101456.296875,2.614355027433324
2021-09-23,74.10340118408203,100034.0078125,1380.719970703125,102316.04591188766,100034.0078125,2.281262291984776
2021-09-24,75.04737854003906,98611.7109375,1377.8599853515625,103404.77989585139,98611.7109375,4.860547406371674
2021-09-27,75.51939392089844,99085.8359375,1381.300048828125,104314.94251040742,99085.8359375,5.277350211997778
2021-09-28,73.15939331054688,98137.6328125,1375.7099609375,100646.10611346364,98137.6328125,2.5560768372682174
2021-09-29,72.21540832519531,94818.9765625,1386.6500244140625,100137.49771720357,94818.9765625,5.609131576312532
2021-09-30,71.27142333984375,97663.546875,1376.3399658203125,98093.70836352557,97663.546875,0.4404524536428367
2021-10-01,71.74341583251953,94818.9765625,1370.47998046875,98322.91512891278,94818.9765625,3.695398003060224
2021-10-04,73.15939331054688,94818.9765625,1366.4300537109375,99967.19373079017,94818.9765625,5.429521974324114
2021-10-05,72.68740844726562,92827.7734375,1374.52001953125,99910.2980786115,92827.7734375,7.629747411619303
2021-10-06,69.85541534423828,91500.296875,1374.449951171875,96012.77220897935,91500.296875,4.93165103075448
2021-10-07,70.3274154663086,90741.765625,1374.489990234375,96664.32859749533,90741.765625,6.526832414712924
2021-10-08,69.3834457397461,89129.8359375,1375.050048828125,95405.71045230143,89129.8359375,7.041272373935725
2021-10-11,69.85541534423828,89129.8359375,1383.0699462890625,96614.92554815579,89129.8359375,8.397961840639434
2021-10-12,63.24749755859375,86759.359375,1379.8399658203125,87271.4248694703,86759.359375,0.5902135494765481
2021-10-13,63.71947479248047,87233.453125,1379.9599609375,87930.32394558936,87233.453125,0.7988573140522037
2021-10-14,68.43943786621094,88940.1953125,1375.030029296875,94106.28225423768,88940.1953125,5.808495161930027
2021-10-15,71.27142333984375,93301.875,1369.72998046875,97622.60529926419,93301.875,4.630914758427096
2021-10-18,66.55146026611328,92069.21875,1370.47998046875,91207.44396566972,92069.21875,-0.9360074909186555
2021-10-19,70.3274154663086,92638.140625,1375.3399658203125,96724.10518366378,92638.140625,4.410672031084695
2021-10-20,67.96743774414062,92827.7734375,1366.3399658203125,92866.62656422332,92827.7734375,0.04185506695308927
2021-10-21,67.96743774414062,91310.6640625,1367.780029296875,92964.50398891419,91310.6640625,1.8112231943490986
2021-10-22,69.3834457397461,93396.6875,1368.4300537109375,94946.39238029066,93396.6875,1.6592717812295765
2021-10-25,70.79944610595703,94818.9765625,1370.56005859375,97034.89300338551,94818.9765625,2.3369967924351975
2021-10-26,78.82335662841797,96715.359375,1354.530029296875,106768.60356316902,96715.359375,10.394671800979417
2021-10-27,74.10340118408203,96241.2734375,1354.530029296875,100375.28217687272,96241.2734375,4.2954634656381385
2021-10-28,76.46336364746094,100982.1875,1359.3299560546875,103938.94074669667,100982.1875,2.9279948473057926
2021-10-29,72.68740844726562,97663.546875,1366.239990234375,99308.44420715421,97663.546875,1.6842490210390526
2021-11-01,78.35135650634766,100982.1875,1356.550048828125,106287.53649443574,100982.1875,5.253747344734183
2021-11-02,78.82335662841797,101930.390625,1365.43994140625,107628.55945615098,101930.390625,5.590255071340233
2021-11-03,77.87936401367188,100034.0078125,1364.06005859375,106232.12983973324,100034.0078125,6.1960148981042185
2021-11-04,79.29535675048828,100508.1015625,1369.4599609375,108591.81615804881,100508.1015625,8.042848755353349
2021-11-05,77.40736389160156,101456.296875,1368.68994140625,105946.68034920841,101456.296875,4.425928811240598
2021-11-08,76.93539428710938,101930.390625,1366.02001953125,105095.28880672157,101930.390625,3.1049603188171515
2021-11-09,77.87936401367188,103352.6796875,1391.9599609375,108404.95649030805,103352.6796875,4.88838491472523
2021-11-10,78.35135650634766,102878.5859375,1365.949951171875,107024.03159409575,102878.5859375,4.029454350309747
2021-11-11,76.93539428710938,101930.390625,1359.8199462890625,104618.28372722492,101930.390625,2.6369889154193693
2021-11-12,76.93539428710938,100982.1875,1366.02001953125,105095.28880672157,100982.1875,4.073095868240695
2021-11-15,76.46336364746094,105249.046875,1348.760009765625,103130.72709986195,105249.046875,-2.012673594710923
2021-11-16,80.23933410644531,106197.2578125,1343.5699462890625,107807.15781566687,106197.2578125,1.5159525173515043
2021-11-17,73.15939331054688,104774.953125,1339.1800537109375,97973.60026307777,104774.953125,-6.491391939644197
2021-11-18,77.87936401367188,104300.8828125,1336.7900390625,104108.35806199908,104300.8828125,-0.18458592612971003
2021-11-19,78.35135650634766,105723.1640625,1343.6800537109375,105279.15491877403,105723.1640625,-0.4199733782688231
