,dr_close,local_close,fx_close,dr_equiv,local_equiv,premium_pct
2021-07-19,106.32954406738281,531.5119018554688,27.972000122070312,2974.2500196325127,2657.5595092773438,11.916591491164198
2021-07-20,107.29744720458984,530.5988159179688,28.077299118041992,3012.6225197655876,2652.9940795898438,13.555568892612936
2021-07-21,108.6524887084961,534.2515258789062,27.999099731445312,3042.171867418918,2671.2576293945312,13.88537870487836
2021-07-22,107.4449234008789,539.7311401367188,27.961599349975586,3004.3319003241922,2698.6557006835938,11.326980302198898
2021-07-23,107.65692901611328,534.2515258789062,27.99570083618164,3013.93117767715,2671.2576293945312,12.828172936666139
2021-07-26,106.60609436035156,529.6852416992188,28.018299102783203,2986.9214379678597,2648.4262084960938,12.780995309058651
2021-07-27,104.6611099243164,529.6852416992188,28.047199249267578,2935.4510036967986,2648.4262084960938,10.8375605965511
2021-07-28,106.07144165039062,528.7720947265625,28.02389907836914,2972.535375907668,2643.8604736328125,12.431628126851857
2021-07-29,107.06698608398438,532.425048828125,27.89900016784668,2987.061862727918,2662.125244140625,12.205910270468422
2021-07-30,107.5186538696289,529.6852416992188,27.844999313354492,2993.856843172616,2648.4262084960938,13.04286423266725
2021-08-02,107.7214584350586,538.8177490234375,27.924100875854492,3008.024871834743,2694.0887451171875,11.652776000290954
2021-08-03,109.1502456665039,542.4706420898438,27.920900344848633,3047.573131870202,2712.3532104492188,12.359006936469896
2021-08-04,109.45441436767578,544.2973022460938,27.850299835205078,3048.338258426549,2721.4865112304688,12.010044725457792
2021-08-05,109.89691162109375,544.2973022460938,27.71470069885254,3045.7600133068627,2721.4865112304688,11.915308076606257
2021-08-06,108.96588134765625,539.7311401367188,27.72640037536621,3021.2316534997663,2698.6557006835938,11.953208878570965
2021-08-09,108.97509002685547,543.3840942382812,27.82229995727539,3031.9376425982628,2716.9204711914062,11.594640871792517
2021-08-10,107.26055145263672,539.7311401367188,27.785600662231445,2980.298849473693,2698.6557006835938,10.43642390982875
2021-08-11,106.91950225830078,538.8177490234375,27.826200485229492,2975.163505620425,2694.0887451171875,10.433017880820072
2021-08-12,106.65216827392578,535.1649169921875,27.791500091552734,2964.023744349106,2675.8245849609375,10.770480285140804
2021-08-13,106.46780395507812,530.5988159179688,27.796499252319336,2959.4322330334107,2652.9940795898438,11.55065349753599
2021-08-16,105.66584777832031,533.3383178710938,27.808000564575195,2938.355954675848,2666.6915893554688,10.187318488751052
2021-08-17,102.42110443115234,533.3383178710938,27.78969955444336,2846.251720175991,2666.6915893554688,6.733441974964993
2021-08-18,101.81273651123047,524.205810546875,27.89940071105957,2840.514333416344,2621.029052734375,8.374011743707776
2021-08-19,101.87724304199219,510.5071105957031,27.842199325561523,2836.4865075138223,2552.5355529785156,11.12427030463763
2021-08-20,99.66493225097656,504.1142272949219,28.01799964904785,2792.4120368302392,2520.5711364746094,10.784893011821106
2021-08-23,102.28282165527344,516.8997192382812,27.97100067138672,2860.9528731909813,2584.4985961914062,10.696630959945818
2021-08-24,103.3429183959961,522.3794555664062,27.901199340820312,2883.3913666288136,2611.8972778320312,10.394516319651448
2021-08-25,107.87816619873047,534.2515258789062,27.89310073852539,3009.0565572685737,2671.2576293945312,12.645688837980341
2021-08-26,108.86449432373047,542.4706420898438,27.884899139404297,3035.6754440794757,2712.3532104492188,11.920358763920301
2021-08-27,109.22398376464844,547.037109375,27.91659927368164,3049.1621858328,2735.185546875,11.479171470342253
2021-08-30,109.68489837646484,552.5166625976562,27.87299919128418,3057.247083743292,2762.5833129882812,10.66624015897184
2021-08-31,109.7033462524414,560.7357788085938,27.72920036315918,3041.9860687429755,2803.6788940429688,8.499802713011917
2021-09-01,111.0399398803711,559.8226928710938,27.568700790405273,3061.2268783465406,2799.1134643554688,9.364158235415676
2021-09-02,111.34412384033203,554.3431396484375,27.671600341796875,3081.0700953172054,2771.7156982421875,11.161115740377326
2021-09-03,114.27545166015625,566.21533203125,27.62660026550293,3157.04222317494,2831.07666015625,11.513837389366198
2021-09-06,114.27545166015625,576.260986328125,27.60700035095215,3154.802434087149,2881.304931640625,9.492140156466998
2021-09-07,114.9483642578125,568.9550170898438,27.533100128173828,3164.8848226801492,2844.7750854492188,11.252549942111933
2021-09-08,112.35810852050781,565.3021850585938,27.59119987487793,3100.095029752556,2826.5109252929688,9.679216238346221
2021-09-09,113.0863265991211,565.3021850585938,27.670700073242188,3129.17782570899,2826.5109252929688,10.708145427905947
2021-09-10,113.35363006591797,568.0418701171875,27.629600524902344,3131.915516768873,2840.2093505859375,10.27058678342696
2021-09-13,113.95281219482422,561.6491088867188,27.65049934387207,3150.8521588253643,2808.2455444335938,12.200023429962293
2021-09-14,113.46427917480469,559.8226928710938,27.639400482177734,3136.0846525340457,2799.1134643554688,12.038496919458353
2021-09-15,111.99861907958984,554.3431396484375,27.63559913635254,3095.14894070859,2771.7156982421875,11.669062691802147
2021-09-16,111.80146026611328,550.4442138671875,27.612699508666992,3087.1401269583585,2752.2210693359375,12.16904635147027
2021-09-17,108.9876937866211,550.4442138671875,27.69300079345703,3018.19629050995,2752.2210693359375,9.664020966098752
2021-09-20,106.16464233398438,550.4442138671875,27.781999588012695,2949.466049584269,2752.2210693359375,7.1667564225109
2021-09-21,106.40528869628906,550.4442138671875,27.766000747680664,2954.449325498339,2752.2210693359375,7.347820217479684
2021-09-22,107.24759674072266,537.6005249023438,27.718599319458008,2972.753162030902,2688.0026245117188,10.593387630003104
2021-09-23,107.54377746582031,539.4352416992188,27.703899383544922,2979.3819902394316,2697.1762084960938,10.463008714610144
2021-09-24,107.03470611572266,548.6093139648438,27.684999465942383,2963.2557816510816,2743.0465698242188,8.027906425262564
2021-09-27,107.50675201416016,552.2788696289062,27.726999282836914,2980.8396359967446,2761.3943481445312,7.9469014630114465
2021-09-28,103.5730209350586,544.9395141601562,27.654199600219727,2864.2289941358467,2724.6975708007812,5.1209875485027645
2021-09-29,103.31385040283203,532.0958862304688,27.738100051879883,2865.7299192187056,2660.4794311523438,7.714793268574938
2021-09-30,103.34162902832031,532.0958862304688,27.812400817871094,2874.178807707387,2660.4794311523438,8.032363417389131
2021-10-01,103.25830078125,526.5914916992188,27.836599349975586,2874.3599484069273,2632.9574584960938,9.168491846758474
2021-10-04,100.90731811523438,524.7567749023438,27.753999710083008,2800.5816777154687,2623.7838745117188,6.738276156097345
2021-10-05,101.12946319580078,524.7567749023438,27.882299423217773,2819.721973334599,2623.7838745117188,7.467768238317429
2021-10-06,101.20352172851562,523.8391723632812,27.871000289916992,2820.6433834360796,2619.1958618164062,7.691197308168096
2021-10-07,102.58263397216797,532.0958862304688,27.951000213623047,2867.2872240700817,2660.4794311523438,7.773328013596492
2021-10-08,101.8514175415039,527.5089721679688,27.9685001373291,2848.6313854967157,2637.5448608398438,8.003144431433796
2021-10-11,102.0550537109375,527.5089721679688,28.049999237060547,2862.64417872997,2637.5448608398438,8.53442613364499
2021-10-12,101.07392883300781,527.5089721679688,28.042999267578125,2834.4161122352816,2637.5448608398438,7.464185891903674
2021-10-13,101.7958755493164,523.8391723632812,28.128700256347656,2863.3856706591905,2619.1958618164062,9.323083179943591
2021-10-14,104.18387603759766,525.6740112304688,27.999500274658203,2917.0964657296718,2628.3700561523438,10.984998436635408
2021-10-15,106.312744140625,550.4442138671875,27.98889923095703,2975.5766827184707,2752.2210693359375,8.115467753338024
2021-10-18,106.75701141357422,541.27001953125,28.0,2989.196319580078,2706.35009765625,10.451205931146102
2021-10-19,108.2564697265625,550.4442138671875,27.949199676513672,3025.6816886621527,2752.2210693359375,9.935997597467573
2021-10-20,106.98841857910156,548.6093139648438,27.8262996673584,2977.091796318855,2743.0465698242188,8.5323096249742
2021-10-21,107.6363296508789,546.7744750976562,27.805999755859375,2992.935755993938,2733.8723754882812,9.476059776176893
2021-10-22,105.7296142578125,550.4442138671875,27.818500518798828,2941.239329083357,2752.2210693359375,6.867844369530474
2021-10-25,105.18353271484375,544.0221557617188,27.836999893188477,2927.993988948292,2720.1107788085938,7.6424538206032455
2021-10-26,105.68333435058594,549.5267944335938,27.80620002746582,2938.651934521942,2747.6339721679688,6.952089116995963
2021-10-27,105.28532409667969,549.5267944335938,27.796300888061523,2926.542547688383,2747.6339721679688,6.511368593220945
2021-10-28,107.37715911865234,545.857177734375,27.762500762939453,2981.0584619538567,2729.285888671875,9.224851611441087
2021-10-29,105.23906707763672,541.27001953125,27.72330093383789,2917.5743265896745,2706.35009765625,7.804763659969516
2021-11-01,105.6278076171875,541.27001953125,27.816699981689453,2938.2170342109166,2706.35009765625,8.567514482160599
2021-11-02,105.61856842041016,543.1048583984375,27.80109977722168,2936.3123589831375,2715.5242919921875,8.13058707086629
2021-11-03,105.52597045898438,543.1048583984375,27.85849952697754,2939.795198115462,2715.5242919921875,8.258843670985637
2021-11-04,109.02470397949219,538.517822265625,27.789499282836914,3029.741933049605,2692.589111328125,12.521510255799061
2021-11-05,109.03395080566406,550.4442138671875,27.874099731445312,3039.223218870582,2752.2210693359375,10.42801949059613
2021-11-08,111.91252136230469,552.2788696289062,27.83009910583496,3114.5365606968116,2761.3943481445312,12.788546945117352
2021-11-09,112.7177963256836,560.5355834960938,27.80120086669922,3133.6900969020207,2802.6779174804688,11.810567934224947
2021-11-10,109.40419006347656,561.4530639648438,27.731300354003906,3033.9204546367982,2807.2653198242188,8.073876495107047
2021-11-11,109.39493560791016,555.948486328125,27.759000778198242,3036.6941026709246,2779.742431640625,9.243722299790381
2021-11-12,109.85774230957031,554.1137084960938,27.801700592041016,3054.2320594082703,2770.5685424804688,10.238458734315948
2021-11-15,109.33016204833984,557.7833862304688,27.781299591064453,3037.333986204554,2788.9169311523438,8.907294881298867
2021-11-16,109.2931137084961,559.6182861328125,27.752500534057617,3033.1571965638577,2798.0914306640625,8.400932268464434
2021-11-17,110.20020294189453,559.6182861328125,27.80069923400879,3063.6426975143404,2798.0914306640625,9.490442804696176
2021-11-18,114.20797729492188,562.3704833984375,27.740699768066406,3168.2092092565726,2811.8524169921875,12.673381793116189
2021-11-19,115.01324462890625,566.95751953125,27.806400299072266,3198.1043198464904,2834.78759765625,12.816364883585063
2021-11-22,115.46676635742188,564.2051391601562,27.792999267578125,3209.1677528014407,2821.0256958007812,13.758898317673097
2021-11-23,112.32904052734375,561.4530639648438,27.769500732421875,3119.3213731963187,2807.2653198242188,11.116015688593329
2021-11-24,111.72740936279297,553.1962890625,27.751399993896484,3100.592027508683,2765.9814453125,12.097354548897865
2021-11-25,111.72740936279297,553.1962890625,27.7677001953125,3102.413206784986,2765.9814453125,12.163196613001004
2021-11-26,108.37677764892578,546.7744750976562,27.764699935913086,3009.0487114435964,2733.8723754882812,10.065441913914054
2021-11-29,110.40381622314453,544.0221557617188,27.853900909423828,3075.1769571017066,2720.1107788085938,13.05337198246872
2021-11-30,108.43232727050781,546.7744750976562,27.7455997467041,3008.519952051138,2733.8723754882812,10.04610087234974
2021-12-01,111.65335845947266,550.4442138671875,27.578699111938477,3079.254377791207,2752.2210693359375,11.88252325000101
2021-12-02,112.64373779296875,564.2051391601562,27.60449981689453,3109.4740392803214,2821.0256958007812,10.224945625589577
2021-12-03,110.45010375976562,557.7833862304688,27.678699493408203,3057.1152309823083,2788.9169311523438,9.616575410840532
2021-12-06,110.27424621582031,550.4442138671875,27.65719985961914,3049.876866959792,2752.2210693359375,10.815112235721447
2021-12-07,113.21759796142578,556.865966796875,27.65920066833496,3131.508261201947,2784.329833984375,12.469012219028652
2021-12-08,112.7363052368164,552.2788696289062,27.742599487304688,3127.5981638635276,2761.3943481445312,13.26155447392221
2021-12-09,110.60745239257812,557.7833862304688,27.630699157714844,3056.161241660593,2788.9169311523438,9.582368966358112
2021-12-10,110.2649917602539,555.03125,27.68560028076172,3052.752486835874,2775.15625,10.00290476746577
2021-12-13,107.75666046142578,551.361572265625,27.63599967956543,2977.9630339830037,2756.807861328125,8.022146764640127
2021-12-14,107.6363296508789,549.5267944335938,27.745899200439453,2986.4667527985584,2747.6339721679688,8.692307019415079
2021-12-15,111.44049072265625,550.4442138671875,27.78420066833496,3096.284956816002,2752.2210693359375,12.501317256577815
2021-12-16,108.34182739257812,557.5868530273438,27.739700317382812,3005.3698237077333,2787.9342651367188,7.799163749664362
2021-12-17,108.1094741821289,559.4300537109375,27.757699966430664,3000.8703478761163,2797.1502685546875,7.283129605571492
2021-12-20,106.82687377929688,551.1353759765625,27.827199935913086,2972.6927751850453,2755.6768798828125,7.8752301072200215
2021-12-21,109.150390625,550.2136840820312,27.815399169921875,3036.0616847872734,2751.0684204101562,10.359366646890876
2021-12-22,112.73793029785156,552.9786376953125,27.730199813842773,3126.245333758503,2764.8931884765625,13.06929854606944
2021-12-23,112.16169738769531,558.50830078125,27.711000442504883,3108.1128459425236,2792.54150390625,11.300506781899134
2021-12-24,112.16169738769531,556.6651611328125,27.62470054626465,3098.433303095837,2783.3258056640625,11.321258071567875
2021-12-27,114.03912353515625,558.50830078125,27.67930030822754,3156.523147216649,2792.54150390625,13.034063873401912
2021-12-28,113.44429016113281,566.802978515625,27.683700561523438,3140.55775923538,2834.014892578125,10.816558073143746
